ECG_Max,ECG_SD,alpha_psd,ECG_Mean,ECG_Q1,delta_amp,ECG_Q2,ECG_Q3,beta_amp,ECG_AVHR,ECG_IBI,theta_psd,ECG_RMSSD,time_std,theta_amp,ECG_pNN20,ECG_pNN50,beta_psd,EDA_SC,EDA_SCL,alpha_amp,EDA_SCR,EDA_Max,EDA_SD,delta_psd,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_skew,time_kurtosis,trust level
0.581849522,0.152754574,2.78522125,0.003158947,-0.062440492,26.86269031,0.014869458,0.090236495,4.182517178,174.1835148,344.4642857,17.97264513,99.10245353,269.1487402,8.177149318,1,0.888888889,1.057127487,7.872378159,7.704811096,3.662216492,0.300559578,8.907318115,0.532193977,321.9764254,7.872378159,7.432842255,7.704811096,8.26335907,41900.4762,42427.87875,41366.37938,0.129151114,2.522345505,1
0.581849522,0.155472641,3.112915459,0.001954408,-0.067404465,27.51791624,0.011747321,0.090294895,4.22054119,173.0175077,346.7857143,20.40245619,96.24909812,272.6524994,8.723263965,0.962962963,0.777777778,1.075921569,7.703451462,7.594413757,3.869185338,0.23365963,8.803024292,0.451235671,323.6478103,7.703451462,7.307891846,7.594413757,7.967605591,41985.73844,42506.53738,41461.2795,0.154028515,2.327383333,1
0.664642304,0.153108259,4.087857072,0.005132694,-0.06262243,27.00131733,0.015359117,0.092226577,4.534624226,170.3853955,352.1428571,20.2954454,92.53627917,276.7737493,8.797556564,0.962962963,0.666666667,1.239408058,7.549221306,7.484512329,4.456019449,0.178743324,8.447036743,0.356750131,301.7903682,7.549221306,7.253322601,7.484512329,7.778434753,42074.68597,42637.28663,41550.44938,0.312312081,2.783185636,1
0.664642304,0.155489183,4.081742089,0.00033127,-0.067404465,27.80561983,0.010471512,0.086932421,4.413375922,171.9549642,348.9285714,18.71645744,95.43758868,264.8654155,8.42894547,0.962962963,0.703703704,1.175072615,7.423841095,7.375946045,4.447945859,0.14959774,8.097839355,0.296835087,281.355633,7.423841095,7.178707123,7.375946045,7.644405365,42160.90053,42650.40063,41660.88475,0.227873762,2.510981954,1
0.664642304,0.153568148,3.989689884,0.004805876,-0.062193417,24.62329215,0.0141462,0.09182901,4.454802322,173.1958763,346.4285714,16.66347074,89.58236434,263.2554491,7.978143753,0.888888889,0.62962963,1.199075836,7.320191078,7.283706665,4.393464069,0.130461273,7.864456177,0.265471766,192.9661447,7.320191078,7.106971741,7.283706665,7.548179626,42243.36122,42720.40238,41728.56825,0.066881414,2.397365032,1
0.664642304,0.155482985,4.207012664,0.003295292,-0.064713588,25.38904275,0.012843438,0.089809728,4.519163371,171.6913643,349.4642857,17.85569789,87.73909133,252.5330575,8.227575713,0.888888889,0.666666667,1.23687445,7.229589615,7.217025757,4.523703537,0.110901375,7.704620361,0.2463875,199.738239,7.229589615,7.010421753,7.217025757,7.432498932,42326.1516,42810.82225,41837.54587,-0.031729166,2.24482642,1
0.664642304,0.15238298,4.205395829,0.003156431,-0.067130436,24.86904103,0.010736557,0.089955728,4.559166605,171.6913643,349.4642857,16.91739394,90.76322473,244.0320267,8.046678257,0.888888889,0.666666667,1.261243923,7.14801754,7.138442993,4.515896921,0.103363457,7.59437561,0.228907902,191.8607793,7.14801754,6.935119629,7.138442993,7.307739258,42412.52462,42878.64512,41962.2415,-0.076961456,2.404056105,1
0.664642304,0.154000967,4.072366139,0.002570228,-0.067817755,25.28470124,0.010004315,0.088515951,4.405555863,173.553719,345.7142857,15.4573947,88.25468197,236.5001711,7.700102136,0.888888889,0.555555556,1.179948172,7.07233326,7.052612305,4.448247131,0.101915665,7.484130859,0.209931424,204.2552515,7.07233326,6.873950958,7.052612305,7.253284454,42495.73232,42946.55513,42040.95,0.023428237,2.175787688,1
0.666304449,0.154703641,3.887471305,0.000801994,-0.071991087,24.81815083,0.005574924,0.087511926,4.253313221,172.3076923,348.2142857,14.62701015,82.9323687,239.7754992,7.51859122,0.888888889,0.518518519,1.099503845,7.001834335,6.975708008,4.350491972,0.098416405,7.376022339,0.195203777,196.6709196,7.001834335,6.83216095,6.975708008,7.1783638,42575.73931,43020.04788,42110.07838,0.085073788,2.132151068,1
0.686564647,0.161895037,5.962439243,0.003746899,-0.085876734,33.88083841,0.013647557,0.096332524,4.466126715,183.1129196,327.6666667,28.31685026,55.21119327,111.9083863,9.872319566,0.896551724,0.413793103,1.272208471,8.342516232,8.398017883,5.031853864,0.111808376,8.887939453,0.324029877,421.4349407,8.342516232,8.047370911,8.398017883,8.572902679,45207.15989,45439.4755,44907.36063,-0.30091306,3.016445478,1
0.686564647,0.163585688,5.590952461,0.00231738,-0.084133728,33.83059995,0.012340302,0.093488908,4.661942698,182.6484018,328.5,27.05923257,55.49153399,111.6287606,9.578915447,0.896551724,0.413793103,1.371445008,8.265326042,8.226203918,4.830265826,0.177449341,8.887939453,0.364366487,425.4910902,8.265326042,7.951107025,8.226203918,8.556861877,45223.23845,45441.42675,44907.65075,-0.474956015,3.196941319,1
0.797838505,0.160874885,5.492413601,0.003721628,-0.081209252,33.14364053,0.014388784,0.096332524,4.727640825,182.9268293,328,25.7874557,64.70756498,114.922322,9.287957167,0.896551724,0.517241379,1.410245702,8.187615891,8.104820251,4.768275829,0.207526436,8.887939453,0.394000954,417.4011148,8.187615891,7.851409912,8.104820251,8.516941071,45240.80083,45459.22075,44908.75225,-0.532399393,3.392967557,1
0.797838505,0.160746669,5.500031818,0.002266797,-0.085086093,32.45674609,0.008692568,0.096496492,4.701917176,180.5915931,332.2413793,24.06248016,66.60115829,115.7508498,8.847975988,0.964285714,0.571428571,1.394487345,8.067497292,7.997322083,4.759056033,0.183962936,8.880615234,0.363370829,405.0740293,8.067497292,7.727622986,7.997322083,8.301753998,45260.49275,45495.40488,44918.427,-0.454792891,3.345823694,1
0.797838505,0.161232061,3.245074721,0.00292958,-0.084874955,22.88918343,0.011536184,0.098461866,4.023772418,180.5915931,332.2413793,14.31386189,66.2382065,117.1265648,7.158209011,0.928571429,0.535714286,0.992854471,7.953174782,7.900047302,3.904643347,0.148571739,8.655929565,0.290660039,174.0964692,7.953174782,7.69569397,7.900047302,8.157310486,45279.07262,45514.05188,44923.3675,-0.609226942,3.550469227,1
